url_name,id,item_name,thumb,vaulted
arcane_chlora_saryn_helmet,54aaefd0e77989436b138405,Arcane Chlora Helmet,items/images/en/thumbs/arcane_chlora_saryn_helmet.142e97dacf6f8ea77e8f325358cef0d0.128x128.png,False
arcane_chorus_banshee_helmet,54aaf18be779894c7c9308d3,Arcane Chorus Helmet,items/images/en/thumbs/arcane_chorus_banshee_helmet.77feb6495c839bdc977d61a22f02bbcc.128x128.png,False
arcane_coil_mag_helmet,54aaf2dfe779891cc44486b8,Arcane Coil Helmet,items/images/en/thumbs/arcane_coil_mag_helmet.3851f27fceaf9d1e083d67d05b8f846c.128x128.png,False
arcane_consequence,5667510e5dcbc186f0536bd0,Arcane Consequence,items/images/en/thumbs/arcane_consequence.f4e12b34a7b31c72f5fa1b042f6ae6e9.128x128.png,False
arcane_deflection,55a46c43e77989032fa38f11,Arcane Deflection,items/images/en/thumbs/arcane_deflection.6ee1147da81f3a9f705621012c560832.128x128.png,False
arcane_double_back,63ee00fe10125411da49e6f4,Arcane Double Back,items/images/en/thumbs/arcane_double_back.1ed9a591a41ea6c610f532f30b31ae22.128x128.png,False
arcane_energize,566751295dcbc186f0536bd1,Arcane Energize,items/images/en/thumbs/arcane_energize.e5f85590ceb29db89c6753dfdf823485.128x128.png,False
arcane_eruption,551085b5e7798972a3b857aa,Arcane Eruption,items/images/en/thumbs/arcane_eruption.96e2b7f03322df6295089a9dd442df86.128x128.png,False
arcane_esprit_vauban_helmet,54aaf231e77989307d9accb2,Arcane Esprit Helmet,items/images/en/thumbs/arcane_esprit_vauban_helmet.7705daeedc343eb44487a0e1f3af360e.128x128.png,False
arcane_essence_loki_helmet,54aaf140e779891f6ee18f9c,Arcane Essence Helmet,items/images/en/thumbs/arcane_essence_loki_helmet.8225ea44057eed0b4d74d6859a369976.128x128.png,False
arcane_flux_nova_helmet,54aaf1dde779897eebeee19d,Arcane Flux Helmet,items/images/en/thumbs/arcane_flux_nova_helmet.f84f4629549d4c35f148e310aa029e9f.128x128.png,False
arcane_fury,56463c24b66f8358acce4451,Arcane Fury,items/images/en/thumbs/arcane_fury.221e1166ea44c6d2473f59b7cfa4396a.128x128.png,False
arcane_gambit_vauban_helmet,54aaf209e7798917c67289d4,Arcane Gambit Helmet,items/images/en/thumbs/arcane_gambit_vauban_helmet.92eb7019eef72efa063361bdf487a262.128x128.png,False
arcane_gauss_mag_helmet,54aaf2f8e779892b01b42391,Arcane Mag Gauss Helmet,items/images/en/thumbs/arcane_gauss_mag_helmet.d3fc3ff3ef176167b43cfd7c47a3b323.128x128.png,False
arcane_grace,55a46a58e77989027c23b89c,Arcane Grace,items/images/en/thumbs/arcane_grace.3e4f746417d977c6ac5f2c9edd71ada0.128x128.png,False
arcane_guardian,551085bce7798972a9b2fc6e,Arcane Guardian,items/images/en/thumbs/arcane_guardian.5d8874dfd06eaaf9aaceef59d99213b3.128x128.png,False
arcane_healing,551085c3e7798972ae2819db,Arcane Healing,items/images/en/thumbs/arcane_healing.acadb2bf20e9dad0e620e8641110a928.128x128.png,False
arcane_hemlock_saryn_helmet,54aaf29ce7798971c40870b8,Arcane Hemlock Helmet,items/images/en/thumbs/arcane_hemlock_saryn_helmet.e640dccfb81244ae52998f9a44ed1a0c.128x128.png,False
